"Hillnumber","Name","Latitude","Longitude","Ticked"
"2572","Hartsop Dodd","54.499","-2.91","1"
"2573","Heron Pike (Rydal)","54.466","-2.995","1"
"2574","Shipman Knotts","54.449","-2.815","1"
"2577","The Nab","54.529","-2.876","0"
"2578","Hartsop Above How (Gill Crag-Hartsop Above How)","54.5","-2.954","1"
"2579","Angletarn Pikes (Angletarn Pikes North Top)","54.525","-2.908","1"
"2582","Brock Crags (Wainwright)","54.515","-2.903","1"
"2583","Great Mell Fell","54.62","-2.936","1"
"2584","Arthur's Pike","54.578","-2.836","1"
"2588","Bonscale Pike","54.573","-2.847","1"
"2589","High Hartsop Dodd","54.489","-2.938","0"
"2590","Sallows","54.428","-2.87","1"
"2595","Beda Fell (Beda Head)","54.546","-2.884","1"
"2596","Low Pike","54.462","-2.968","1"
"2598","Little Mell Fell","54.608","-2.894","1"
"2601","Stone Arthur","54.474","-3.008","0"
"2607","Baystones (Wansfell)","54.438","-2.922","1"
"2609","Sour Howes","54.421","-2.884","1"
"2610","Gowbarrow Fell (Wainwright summit)","54.588","-2.918","1"
"2611","Nab Scar","54.456","-2.996","1"
"2612","Glenridding Dodd","54.549","-2.959","1"
"2614","Arnison Crag","54.526","-2.939","0"
"2615","Steel Knotts (Pikeawassa-Steel Knotts)","54.555","-2.867","1"
"2623","Hallin Fell","54.57","-2.879","1"
"2626","Troutbeck Tongue","54.45","-2.892","1"
"2627","High Rigg (Naddle Fell)","54.588","-3.072","1"
"2634","The Old Man of Coniston (Coniston Old Man)","54.371","-3.121","1"
"2635","Swirl How","54.395","-3.122","1"
"2636","Brim Fell","54.377","-3.124","1"
"2637","Great Carrs","54.399","-3.125","1"
"2638","Dow Crag","54.37","-3.137","1"
"2639","Grey Friar","54.393","-3.141","1"
"2640","Wetherlam","54.4","-3.098","1"
"2643","Harter Fell (Eskdale)","54.387","-3.205","1"
"2655","Green Crag","54.374","-3.233","1"
"2673","Holme Fell","54.396","-3.057","1"
"3728","High Stile","54.522","-3.288","1"
